,OpenTime,Side,Pair,Amount,Status,OpenPrice,ClosePrice,SL,TP,PnL
266,02/20 19:08:00,LONG,SEIUSDT,87.7192982456143,Close,0.9012,0.9126,0.8841000000000001,0.9126,0.9199473684210524
267,02/20 19:16:32,LONG,WIFUSDT,208.3333333333321,Close,0.3484,0.3532,0.3411999999999999,0.3532,0.9264166666666668
268,02/20 19:17:33,LONG,AXSUSDT,27.77777777777809,Close,8.026,8.062,7.972,8.062,0.776055555555553
269,02/20 19:18:39,LONG,CAKEUSDT,101.0101010101008,Close,2.6951,2.705,2.68025,2.705,0.7267676767676772
270,02/20 19:19:33,LONG,ONEUSDT,5555.555555555568,Close,0.01822,0.0184,0.01795,0.0184,0.8977777777777778
271,02/20 20:31:38,LONG,JUPUSDT,312.5000000000019,Close,0.4944,0.4976,0.4896,0.4976,0.844499999999999
272,02/20 20:35:10,LONG,WLDUSDT,11.641443538998884,Close,6.4157,6.5016,6.286850000000001,6.5016,0.9243119906868448
273,02/20 21:01:57,LONG,IOTXUSDT,2499.999999999972,Close,0.05812,0.05852,0.0575199999999999,0.05852,0.8537000000000017
274,02/20 21:02:07,LONG,BLZUSDT,751.8796992481215,Close,0.36886,0.366865,0.366865,0.37019,-1.775838345864683
275,02/20 21:16:29,LONG,JUPUSDT,249.99999999999977,Close,0.4956,0.4996,0.4896,0.4996,0.8751000000000001
276,02/20 21:23:49,SHORT,APEUSDT,116.27906976744266,Close,1.811,1.8024,1.8239,1.8024,0.7904186046511613
277,02/20 21:33:51,LONG,PIXELUSDT,87.7192982456143,Close,0.5243,0.5072000000000001,0.5072000000000001,0.5357,-1.5444912280701706
278,02/20 22:34:48,LONG,1000BONKUSDT,17241.3793103446,Close,0.012251,0.012309,0.0121639999999999,0.012309,0.7877758620689682
279,02/20 23:34:13,LONG,CHRUSDT,208.3333333333346,Close,0.4116,0.4044000000000001,0.4044000000000001,0.4164,-1.5842499999999948
280,02/21 00:03:50,SHORT,RLCUSDT,43.103448275861865,Close,3.9563,3.9911,3.9911,3.9331,-1.6720301724137732
281,02/21 00:11:33,SHORT,TRXUSDT,2083.3333333332976,Close,0.13968,0.1392,0.1404,0.1392,0.7100000000000048
282,02/21 00:23:46,SHORT,JASMYUSDT,7518.796992481235,Close,0.011503,0.01137,0.0117024999999999,0.01137,0.9145112781954884
283,02/21 01:05:46,SHORT,RLCUSDT,14.64128843338218,Close,4.0165,3.9482,4.11895,3.9482,0.9421932650073204
284,02/21 01:22:29,SHORT,SUSHIUSDT,166.66666666666652,Close,1.305,1.299,1.314,1.299,0.7835000000000002
285,02/21 01:23:51,SHORT,MASKUSDT,11.627906976744146,Close,4.192,4.321000000000001,4.321000000000001,4.106,-1.5502441860465117
286,02/21 02:04:55,SHORT,ETHUSDT,0.0810372771474868,Close,3002.84,2990.5,3021.3500000000004,2990.5,0.7576580226904397
287,02/21 02:05:12,SHORT,BNBUSDT,0.6410256410256401,Close,354.81,353.25,357.15,353.25,0.7735576923076927
288,02/21 02:05:45,SHORT,ORBSUSDT,2040.8163265305943,Close,0.03962,0.03913,0.040355,0.03913,0.9201428571428578
289,02/21 03:33:18,SHORT,MATICUSDT,263.1578947368403,Close,1.0155,1.0117,1.0212,1.0117,0.7337631578947386
290,02/21 04:33:14,LONG,STORJUSDT,126.58227848101414,Close,0.7204,0.7085500000000002,0.7085500000000002,0.7283,-1.5896898734177154
291,02/21 05:21:11,LONG,PIXELUSDT,232.55813953488533,Close,0.5121,0.50565,0.50565,0.5164,-1.6175930232558149
292,02/21 06:22:09,SHORT,STXUSDT,21.09704641350206,Close,2.8203,2.7729,2.8914,2.7729,0.9415
293,02/21 06:30:48,SHORT,CTSIUSDT,232.55813953488533,Close,0.3166,0.3230499999999999,0.3230499999999999,0.3123,-1.575127906976732
294,02/21 06:51:53,LONG,LEVERUSDT,101010.10101010132,Close,0.0017275,0.00171265,0.00171265,0.0017374,-1.6729949494949612
295,02/21 08:36:17,SHORT,JASMYUSDT,1930.501930501933,Close,0.011678,0.01116,0.0124549999999999,0.01116,0.9784555984555984
296,02/21 08:47:48,SHORT,HBARUSDT,431.0344827586202,Close,0.11043,0.10811,0.11391,0.10811,0.9534008620689656
297,02/21 09:08:44,LONG,SUIUSDT,69.4444444444446,Close,1.6617,1.6401,1.6401,1.6761,-1.6138958333333413
298,02/21 09:17:08,LONG,KASUSDT,1562.499999999996,Close,0.17648,0.17552,0.17552,0.17712,-1.7742499999999777
299,02/21 09:17:57,LONG,AUDIOUSDT,357.1428571428575,Close,0.2299,0.2257,0.2257,0.2327,-1.5806071428571378
